"location.long","location.lat","timestamp","burst_","step_id_","case_","x1_","y1_","x2_","y2_","t1_","t2_","dt_","sl_","ta_","individual.local.identifier","utm.northing","x2_.1"
-8.50290344511977,TRUE,"2014-04-13 10:49:45",1,18,FALSE,4968457.88171952,-1184982.56909625,4968387.8438221,-1184850.72462585,"2014-04-13 10:49:45","2014-04-13 11:05:42",15.95,119.326573613413,102.729039087977,"B3",-1184850.72462585,-1.31329817472968
-8.502912117984,TRUE,"2014-04-13 14:43:57",2,30,FALSE,4968297.85296521,-1185042.73885279,4968368.37728267,-1184849.70646335,"2014-04-13 14:43:57","2014-04-13 14:59:41",15.7333333333333,238.162219904818,-67.8448687209163,"B3",-1184849.70646335,-1.31343871689462
-8.50293211881735,TRUE,"2014-04-17 12:36:08",16,153,FALSE,4968015.85433562,-1185184.64861332,4967886.5622284,-1184797.2634312,"2014-04-17 12:36:08","2014-04-17 12:51:34",15.4333333333333,411.11034907584,-92.3570587752713,"B3",-1184797.2634312,-1.31693976866928
-8.50294588185656,TRUE,"2014-04-13 09:32:22",1,13,FALSE,4968379.65648376,-1184964.91682588,4968320.8299885,-1184848.98042904,"2014-04-13 09:32:22","2014-04-13 09:47:47",15.4166666666667,148.376149384795,159.058096084925,"B3",-1184848.98042904,-1.31378054525346
-8.50296501774638,TRUE,"2014-04-16 10:16:48",12,113,FALSE,4967838.61095643,-1185113.10253862,4967732.58486274,-1184784.21511378,"2014-04-16 10:16:48","2014-04-16 10:32:12",15.4,331.726069344098,-142.617137926919,"B3",-1184784.21511378,-1.31805560729063
-8.5029725719672,TRUE,"2014-04-13 11:05:42",1,19,FALSE,4968449.66987863,-1184947.33479144,4968483.02331982,-1184871.31384995,"2014-04-13 11:05:42","2014-04-13 11:22:17",16.5833333333333,96.5970911304943,-36.4808570188447,"B3",-1184871.31384995,-1.31259816679534
-8.50298256587761,TRUE,"2014-04-16 14:24:47",12,129,FALSE,4967949.66817482,-1185131.29354688,4968056.66856087,-1184823.82685714,"2014-04-16 14:24:47","2014-04-16 14:40:12",15.4166666666667,259.890853558443,19.9960195186358,"B3",-1184823.82685714,-1.31569707027003
-8.50299279466784,TRUE,"2014-04-13 14:43:57",2,30,FALSE,4968297.85296521,-1185042.73885279,4968382.94883854,-1184862.66934259,"2014-04-13 14:43:57","2014-04-13 14:59:41",15.7333333333333,230.779748770474,13.7595224352714,"B3",-1184862.66934259,-1.31332347499632
-8.50300014501204,TRUE,"2014-04-13 11:22:17",1,20,FALSE,4968468.74658613,-1184961.97004652,4968421.44346466,-1184868.11210471,"2014-04-13 11:22:17","2014-04-13 11:37:51",15.5666666666667,107.954933060051,-111.072972141334,"B3",-1184868.11210471,-1.3130427347297
-8.50300344219862,TRUE,"2014-04-13 09:32:22",1,13,FALSE,4968379.65648376,-1184964.91682588,4968470.47302159,-1184874.19560722,"2014-04-13 09:32:22","2014-04-13 09:47:47",15.4166666666667,143.418719403718,-149.91136600579,"B3",-1184874.19560722,-1.3126858634561
